source_region,source_row,company,domain,city,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Gothenburg,211,EZlegal,ezlegal.se,Göteborg,NATIONAL / NORDIC ONLY,Swedish legal-services firm with no genuine wider international commercial remit verified; the proposition is tied to Swedish legal advice and case handling.,,,,,2026-09-17,No further action unless a real international commercial expansion is evidenced
Gothenburg,212,Goismo,goismo.com,Gothenburg,IRRELEVANT / EXCLUDED,Cybersecurity and data-privacy specialist serving automotive and IT clients; cybersecurity is an explicit hard exclusion under current speculative governance.,,,,,2026-09-17,No speculative outreach
Gothenburg,213,ZOOL,zool.se,Gothenburg,IRRELEVANT / EXCLUDED,Software-engineering and IT-management consultancy focused on development DevOps agile leadership and prototyping; specialist technical-services environment is a poor match for Andrew's target commercial profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,214,More Alliance,morealliance.se,Gothenburg,IRRELEVANT / EXCLUDED,Advertising and communications alliance covering content marketing digital strategy film PR and events; agency/marketing operating model is outside Andrew's target international full-cycle sales profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,215,Eld & Vatten,eldochvatten.se,Stenungsund,IRRELEVANT / EXCLUDED,Very small passive-fire-protection importer and technical training provider focused on the Swedish market; scale and specialist technical-domain gates apply.,,,,,2026-09-17,No speculative outreach
Gothenburg,216,Jovi,jovikonsult.se,Göteborg,NATIONAL / NORDIC ONLY,Swedish staffing and recruitment business with no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,217,Leoware Sverige AB,leowareit.com,Gothenburg,NATIONAL / NORDIC ONLY,Small Swedish IT staffing and consulting business whose current activity and hiring are centred on Sweden; no genuine wider international commercial sales operation is verified.,No Gmail contact/application found in the current company/domain screening; no canonical GitHub outreach history identified in the current review,,,,2026-09-17,Revisit only if wider international expansion becomes explicit
Gothenburg,218,Consat Telematics AB,consat.com,Partille,ALREADY HANDLED,Global public-transport technology company already contacted and personally answered.,Speculative outreach sent 2026-08-03 to Pär Thuresson; reply received 2026-08-05 confirming the CV had been discussed internally and no matching opening existed then or in the nearest future; Andrew acknowledged the same day,Pär Thuresson,Chief Executive Officer,par.thuresson@consat.se,2026-09-17,Do not duplicate; retain future-consideration history
Gothenburg,219,Mechanum Sverige AB,mechanum.com,Mölndal,NATIONAL / NORDIC ONLY,Swedish authorised vehicle service and repair operator; domestic operational/retail service model rather than international new-business sales.,,,,,2026-09-17,No further action
Gothenburg,220,2D-TECH,2dtech.se,Gothenburg,IRRELEVANT / EXCLUDED,Chalmers-hosted research competence centre focused on 2D materials and industrial research; specialist scientific/research environment outside the target commercial-company profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,221,Partillebo,partillebo.se,Partille,IRRELEVANT / EXCLUDED,Municipally owned local property company in Partille; public/local real-estate remit rather than international commercial sales.,,,,,2026-09-17,No further action
Gothenburg,222,Hovrätten för Västra Sverige,dom.se,Göteborg,IRRELEVANT / EXCLUDED,Swedish court; public judicial authority outside the target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,223,Klima-Therm AB,klima-therm.com,Partille,NATIONAL / NORDIC ONLY,"Swedish HVAC/refrigeration supplier operating primarily across the Nordic market. It belongs to a wider international group, but the Swedish company remains a specialist technical local/Nordic sales operation rather than an autonomous wider-international remit for Andrew.",No Gmail contact/application found in the current company/domain screening; no current Andrew-specific GitHub history identified,,,,2026-09-17,No outreach unless a non-technical wider-international remit is explicitly verified
Gothenburg,224,Crusner Advokatbyrå,crusner.se,Göteborg,NATIONAL / NORDIC ONLY,Swedish full-service law firm with no wider international full-cycle commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,225,Mercy Ships Sverige,mercyships.se,Göteborg,IRRELEVANT / EXCLUDED,Non-profit humanitarian healthcare organisation; outside the target permanent commercial-company profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,226,Refrico AB,refrico.se,Askim,NATIONAL / NORDIC ONLY,Swedish refrigeration wholesaler and technical-support business; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,227,Optima Engineering AB,optimaengineering.se,Göteborg,IRRELEVANT / EXCLUDED,Structural/building engineering consultancy; specialist engineering expertise is central to the proposition and triggers the technical-domain gate.,,,,,2026-09-17,No speculative outreach
Gothenburg,228,Hotel Pigalle,hotelpigalle.se,Gothenburg,IRRELEVANT / EXCLUDED,Single boutique hotel in Gothenburg; local hospitality operating model with no credible international full-cycle new-business remit for Andrew.,,,,,2026-09-17,No speculative outreach
Gothenburg,229,Salinity,salinity.se,Göteborg,ALREADY HANDLED,International salt group already approached in the current search.,Speculative outreach sent 2026-08-04 to Marit Börjesson with company-specific CV attached,Marit Börjesson,,marit.borjesson@salinity.com,2026-09-17,Do not duplicate; retain history
Gothenburg,230,Taigatech,taigatech.se,Göteborg,INTERNATIONAL - HOLD,"AI and computer-vision solutions for the forest and wood-processing industry have international potential, but the proposition is a narrow specialist technical sale and the canonical full-cycle re-audit already placed Taigatech on hold.",No Gmail contact/application found after 2021 in current exact-name check; GitHub full-cycle hold remains in force,Christoffer Johnsson,CEO,christoffer@taigatech.se,2026-09-17,Hold unless a clearly non-technical senior international commercial remit materially changes the fit
