company,action,review_note
Gunnebo Safe Storage,hold,"Held after full-cycle sales re-audit: Gunnebo manufactures safes, vaults and specialist physical-security systems. Its industrial security sales motion and product fit are too weak for proactive outreach."
Salinity,hold,"Held after full-cycle sales re-audit: international distribution exists, but salt and commodity food distribution is not a sufficiently compelling product fit for proactive outreach."
Allgon Group,hold,Held after full-cycle sales re-audit: industrial radio-control systems create a specialist engineering-led sales motion rather than a broadly transferable consultative sale.
Atritec,hold,Held after full-cycle sales re-audit: geospatial infrastructure inspection is a technical engineering domain with insufficient evidence of a suitable senior commercial remit.
CPAC Systems,hold,Held after full-cycle sales re-audit: control systems and OEM engineering require specialist technical credibility not sufficiently evidenced in Andrew's background.
Elvaco,hold,Held after full-cycle sales re-audit: metering and energy-data infrastructure is a specialist technical market; speculative fit is too weak without a defined role.
Embedl,hold,Held after full-cycle sales re-audit: embedded and edge AI is deeply technical; partnership relevance alone is not enough to justify outreach.
FlexQube,hold,Held after full-cycle sales re-audit: modular intralogistics and industrial automation is a specialist engineering sale with weak product-fit evidence.
I-Tech,hold,Held after full-cycle sales re-audit: marine biotechnology and coatings channels require specialist maritime and technical knowledge.
Kognic,hold,Held after full-cycle sales re-audit: automotive AI training-data sales require deep domain and product knowledge; partnerships alone were over-weighted previously.
Satcube,hold,Held after full-cycle sales re-audit: satellite communications is a specialist technical market with substantial domain credibility requirements.
Taigatech,hold,Held after full-cycle sales re-audit: computer vision for forestry is a narrow technical industry sale; no strong transferable product fit has been established.
Unipower AB,hold,Held after full-cycle sales re-audit: power-quality and smart-grid equipment is an engineering-led technical sale.
VITEC ENERGY AB,hold,Held after full-cycle sales re-audit: energy forecasting and grid software requires specialist energy-market knowledge.
Cemvision,hold,"Held after full-cycle sales re-audit: low-carbon cement is mission-led, but the industrial construction sale requires specialist technical and sector experience."
Midsummer,hold,Held after full-cycle sales re-audit: solar manufacturing and machinery sales are engineering-led and technically specialised.
Navigraph,hold,Held after full-cycle sales re-audit: flight-simulation data is aviation/travel-adjacent and too niche for immediate outreach.
Anyfin,hold,Held after full-cycle sales re-audit: consumer refinancing is not a sufficiently compelling product or customer-value fit for proactive outreach.
Baseload Capital,hold,Held after full-cycle sales re-audit: geothermal investment and project finance is not a conventional full-cycle product-sales environment.
Climeon,hold,Held after full-cycle sales re-audit: industrial heat-power systems are technically complex and sold through specialist project/OEM channels.
Hopsworks,hold,Held after full-cycle sales re-audit: AI and data infrastructure requires deep technical platform knowledge.
Imagimob,hold,Held after full-cycle sales re-audit: edge-AI software requires substantial embedded-technology expertise.
Net Insight,hold,Held after full-cycle sales re-audit: broadcast and media-network infrastructure is a specialist telecom sale.
Nordic Air Defence,hold,Held after full-cycle sales re-audit: defence technology and software-defined air defence carry explicit technical and sector-domain risk.
SaltX Technology,hold,Held after full-cycle sales re-audit: energy-storage technology is engineering-led with a specialist industrial sales cycle.
Subtonomy,hold,Held after full-cycle sales re-audit: telecom service-assurance software is a specialist operator market requiring sector knowledge.
TERASi,hold,Held after full-cycle sales re-audit: high-frequency wireless infrastructure is a deep engineering and dual-use technology domain.
Waystream,hold,Held after full-cycle sales re-audit: broadband network equipment is a technical telecom infrastructure sale.
Talurit,hold,Held after full-cycle sales re-audit: specialist wire-rope machinery and industrial safety products require a narrower technical sales proposition than Andrew's profile supports.
Wallmek i Kungälv AB,hold,"Held after full-cycle sales re-audit: export activity is real, but specialist automotive workshop tools are too narrow and technical for immediate speculative outreach."
AGVE,hold,Held after full-cycle sales re-audit: automated-guided-vehicle systems are specialist industrial automation with substantial technical-domain requirements.
Carmenta,hold,Held after full-cycle sales re-audit: geospatial and mission-critical software is technically specialised; retain only for a clearly commercial English-first vacancy.
InfraCom International,hold,Held after full-cycle sales re-audit: telecom and Microsoft voice infrastructure is a specialist channel market and too technical for generic speculative outreach.
Marinfloc,hold,Held after full-cycle sales re-audit: marine water-treatment systems require specialist maritime and technical selling experience.
Smart Eye,hold,Held after full-cycle sales re-audit: automotive behavioural technology is technically specialised and generally sold into complex OEM environments.
AVTECH Sweden,hold,Held after full-cycle sales re-audit: airline and flight-optimisation technology is both aviation-specialist and adjacent to the excluded travel sector.
SkySparc,hold,Held after full-cycle sales re-audit: treasury transformation and financial-institution consulting require specialised treasury-domain credibility.
Pronomic,hold,Held after full-cycle sales re-audit: workplace lifting equipment is an industrial product sale with limited alignment to Andrew's preferred proposition profile.
BROCC,hold,Held after full-cycle sales re-audit: consumer lending and savings is not a sufficiently compelling product fit for proactive outreach.
Echandia,hold,"Held after full-cycle sales re-audit: marine battery systems require specialist maritime, engineering and project-sales knowledge."
Oceanbird,hold,Held after full-cycle sales re-audit: wind-powered shipping is compelling but requires specialist maritime project-sales credibility.
Netmore,hold,Held after full-cycle sales re-audit: massive-IoT network infrastructure is a specialist telecom and utilities sale.
Optixmarine,hold,Held after full-cycle sales re-audit: marine optimisation is a highly technical sector and the target contact combines CEO/CTO responsibilities.
