company,final_status,final_reason,last_verified,next_action
"Heartpace HR","FINAL HOLD - NOT CURRENT SEND","Small HR SaaS; no sufficiently mature international senior-commercial mandate verified","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Lumoo","FINAL HOLD - NOT CURRENT SEND","Small team; current growth motion is junior/community/social-media oriented","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"PaymentIQ","FINAL HOLD - NOT CURRENT SEND","Specialist payments infrastructure and regulated/high-risk merchant ecosystem","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Virtune","FINAL HOLD - NOT CURRENT SEND","Very small regulated crypto/financial-markets business","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Unikum - Unikt lärande","FINAL HOLD - NOT CURRENT SEND","Country/local-authority sales model; local education/language expertise central","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Hypertype","FINAL HOLD - NOT CURRENT SEND","Very small company plus manufacturing-workflow specialisation","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"ALTIANT","FINAL HOLD - NOT CURRENT SEND","Very small luxury-market research/services business","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Bits Technology","LIVE ROLE - DIRECT APPLICATION","Current Stockholm commercial roles supersede speculative outreach","2026-09-19","Route through advertised-role workflow; do not send speculative outreach"
"Montrose","FINAL HOLD - NOT CURRENT SEND","Investment/financial-services model; no suitable international B2B mandate verified","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"GoClimate","FINAL HOLD - NOT CURRENT SEND","Mission fit but very small team and advisory/platform resource risk","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"StockRepublic","FINAL HOLD - NOT CURRENT SEND","Very small specialist bank/broker fintech platform","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"SkySparc","FINAL HOLD - NOT CURRENT SEND","Specialist treasury/financial-institution domain credibility required","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Pango (YC S26)","FINAL HOLD - NOT CURRENT SEND","Extremely early-stage 2026 startup; insufficient maturity","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Miramis Technologies (formerly Pocketlaw)","FINAL HOLD - NOT CURRENT SEND","Small legal-AI company; legal-workflow and scale risks remain","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Airmee","FINAL HOLD - NOT CURRENT SEND","Last-mile logistics execution model rather than preferred consultative product sale","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"TreeToTextile","FINAL HOLD - NOT CURRENT SEND","Specialist materials-science/textile proposition","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Aris Machina","FINAL HOLD - NOT CURRENT SEND","Very small 2025 AI/manufacturing startup; specialist industrial workflows","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
"Desenio Group","FINAL HOLD - NOT CURRENT SEND","Consumer e-commerce/brand/influencer-led model and turnaround context","2026-09-19","Exclude from current speculative send queue; revisit only on a material role/company change"
