challenge_source,challenge_index,company,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Genesy Stockholm,60,Mindler,IRRELEVANT / EXCLUDED,"International digital mental-health provider, but the operating model is a clinical care service built around licensed psychologists and healthcare delivery rather than an enterprise international new-business proposition Andrew could transfer into cleanly. Current Stockholm openings are non-commercial.","No further employment-history check required after the clinical-service/company-model gate.",,,,2026-09-19,"No speculative outreach"
Genesy Stockholm,61,BioLamina,IRRELEVANT / EXCLUDED,"International life-science company selling specialised cell-culture products and solutions for stem-cell and regenerative-medicine research. Scientific and life-science credibility is central to the proposition, triggering the explicit specialist-domain exclusion.","No further employment-history check required after the life-science hard gate.",,,,2026-09-19,"No speculative outreach"
Genesy Stockholm,62,Cellcolabs,IRRELEVANT / EXCLUDED,"Cell-therapy biotechnology company manufacturing GMP stem-cell products for clinical/research use. The proposition is specialist biotech/clinical science and fails the explicit life-science/clinical-domain gate despite an existing researched commercial contact.","Canonical applications.csv records Cellcolabs only as a 2026-07-24 Prospective Target / Not Contacted; that earlier target status does not override the current specialist-domain exclusion.",Karl Stenberg,Commercial Director,karl.stenberg@cellcolabs.com,2026-09-19,"No speculative outreach; biotech/life-science hard gate"
Genesy Stockholm,63,Mynewsdesk,IRRELEVANT / EXCLUDED,"PR and communications platform centred on newsroom, media-distribution and social/digital communications workflows. It conflicts with Andrew's standing preference to avoid social-media/communications-noise type companies, and no exceptional autonomous international commercial mandate is currently evidenced.","No relevant canonical direct outreach/application surfaced in the current repository screening.",,,,2026-09-19,"No speculative outreach under current preference governance"
Genesy Stockholm,64,Learnifier,ALREADY HANDLED,"International B2B learning SaaS is commercially transferable, but Andrew already completed speculative outreach in the current campaign.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-10 to Mattias Borg at mattias.borg@learnifier.com.",Mattias Borg,,mattias.borg@learnifier.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,65,Zimpler,INTERNATIONAL - HOLD,"International Pay-by-Bank fintech with real Nordic/EU scale, but TrueLayer completed its acquisition on 2026-03-03 and integration began immediately. Zimpler's regulated-payments environment and visible iGaming exposure add specialist/industry-fit uncertainty while the post-acquisition commercial organisation is still changing.","Live Gmail found no Zimpler sent outreach, draft or scheduled message after 2020.",,,,2026-09-19,"Hold for final challenge; promote only if the post-acquisition organisation exposes an autonomous international B2B sales mandate that does not depend on payments/iGaming domain depth"
Genesy Stockholm,66,Candela,ALREADY HANDLED,"Strong purpose-led international mobility proposition, but Andrew already completed speculative outreach during the current campaign.","Canonical applications.csv and live Gmail verify the 2026-07-27 Candela outreach to Jerker Olofsson, including the same-day corrective follow-up with the CV attached.",Jerker Olofsson,Chief Commercial Officer,,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,67,Einride,INTERNATIONAL - HOLD,"Stockholm-founded global electric/autonomous freight company with genuine international commercial relevance, but the canonical audit found the current Business Developer Nordics route required a Nordic language and sat inside a specialist freight/EV/autonomous ecosystem. Andrew's basic Swedish leaves a hard current language gap.","Canonical Stockholm row 122 found no prior exact-company application/outreach; live Gmail screening in this challenge found no sent outreach, draft or scheduled message after 2020.",,,,2026-09-19,"Hold for final challenge; revisit only for an English-first international commercial mandate without the Nordic-language or specialist freight gate"
Genesy Stockholm,68,Doconomy,ALREADY HANDLED,"International climate-fintech platform with attractive enterprise/partnership relevance, but Andrew already completed speculative outreach.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-03 to Carl-Johan von Uexkull at carl-johan@doconomy.com.",Carl-Johan von Uexkull,Chief Commercial Officer,carl-johan@doconomy.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,69,Funnel,ALREADY HANDLED,"Strong international B2B SaaS fit, but Andrew already completed speculative outreach during the current campaign.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-12 to Fredrik at fredrik@funnel.io.",Fredrik,,fredrik@funnel.io,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,70,Planhat,ALREADY HANDLED,"International B2B customer-platform SaaS with strong enterprise transferability, but Andrew already completed speculative outreach.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-03 to Kaveh Rostampor at kaveh@planhat.com.",Kaveh Rostampor,CEO & Co-founder,kaveh@planhat.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,71,Quinyx,INTERNATIONAL - NEEDS CONTACT,"Stockholm-founded workforce-management SaaS with about 300 employees, 800+ customers and operations across multiple countries. Current live sales vacancies in London, Copenhagen and Hamburg confirm a mature international new-business motion, while Sweden currently has no matching sales vacancy, making a speculative Stockholm approach credible.","Live Gmail exact-company screening after 2020 found no Quinyx sent outreach, draft or scheduled message. Current Stockholm openings are product/support rather than sales.",Mohit Paul,CRO,,2026-09-19,"Retain as qualified international target; verify Mohit Paul or another current senior commercial decision-maker and source a direct professional email before drafting"
Genesy Stockholm,72,Teamtailor,LIVE ROLE - TIER B / DIRECT APPLICATION,"Current Stockholm hybrid Account Executive - Aboard role is explicitly full-cycle: self-prospecting, own meetings, demos, relationship building, negotiation and closing. It asks for 2+ years' sales experience with SaaS/tech preferred and HR-tech experience only a plus. The remit is substantively relevant but the experience framing creates a seniority/overqualification risk, so it belongs in advertised-role review rather than speculative outreach.","No canonical Teamtailor employer application/outreach was found. Gmail contains many Teamtailor ATS/platform messages for other employers, but an exact Aboard by Teamtailor employment-history search found no prior matching application or outreach.",Martina Nunes,Sales Talent Acquisition Specialist,,2026-09-19,"Route to advertised-role workflow as Tier B; do not create speculative outreach while this live role exists"
Genesy Stockholm,73,Mentimeter,ALREADY HANDLED,"International presentation SaaS with strong enterprise sales relevance, but Andrew already completed speculative outreach.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-03 to Christian Finstad at christian.finstad@mentimeter.com.",Christian Finstad,Chief Sales Officer,christian.finstad@mentimeter.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,74,Voyado,ALREADY HANDLED,"International retail/commerce SaaS is relevant, but Andrew already completed outreach and received a substantive current-campaign response.","Canonical applications.csv and live Gmail verify outreach sent 2026-08-12 to Erica Sandelin Ekelund; her personal reply the same day said there were no open roles fitting Andrew's background and that his CV would be kept in mind.",Erica Sandelin Ekelund,,erica.sandelin@voyado.com,2026-09-19,"Do not duplicate; retain No Current Opportunity / keep-in-mind history"
Genesy Stockholm,75,Bambuser,INTERNATIONAL - NEEDS CONTACT,"Stockholm-headquartered B2B video-commerce SaaS used by global enterprise brands, with colleagues across Europe, the US and Asia plus an active partner programme. Current Stockholm openings are Commercial Operations Manager and Growth Manager rather than a matching hands-on sales role, so a speculative international-commercial approach remains plausible.","Live Gmail exact-company screening after 2020 found no Bambuser sent outreach, draft or scheduled message.",Jonas Lagerström,CBO & CFO,,2026-09-19,"Retain as qualified international target; verify the current senior revenue/new-business owner and source a direct professional email before drafting"
Genesy Stockholm,76,Ingrid,ALREADY HANDLED,"Strong international delivery-experience SaaS fit, but Andrew has an active current-campaign dialogue with the company.","Live Gmail verifies speculative outreach sent 2026-08-12 to Madelén Menning at madelen.menning@ingrid.com and Andrew's 2026-09-04 reply thanking her for reviewing his background and sharing it with Ingrid's leadership team.",Madelén Menning,,madelen.menning@ingrid.com,2026-09-19,"Do not duplicate outreach; preserve the existing active dialogue"
Genesy Stockholm,77,TrusTrace,ALREADY HANDLED,"International sustainability/supply-chain SaaS with strong enterprise relevance, but Andrew already completed speculative outreach.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-03 to Shameek Ghosh at shameek.ghosh@trustrace.com.",Shameek Ghosh,CEO & Co-founder,shameek.ghosh@trustrace.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,78,Worldfavor,ALREADY HANDLED,"International sustainability SaaS with strong enterprise relevance, but Andrew already completed speculative outreach.","Canonical applications.csv and live Gmail verify current-campaign outreach sent 2026-08-03 to Andreas Liljendahl at andreas@worldfavor.com; older mailbox matches do not change the current handled status.",Andreas Liljendahl,Founder & CEO,andreas@worldfavor.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,79,Normative,INTERNATIONAL - HOLD,"International carbon-accounting SaaS remains highly relevant in principle, but on 2026-09-15 Normative and Greenly announced a merger to create a combined climate-software company. Current Normative careers material now names Sebastien Blanc as CEO and Saskia Clifford-Mobley as VP Revenue, so the older Matthew Milan contact cannot be treated as current send-ready evidence and the commercial organisation is actively changing.","Canonical applications.csv records Normative as a 2026-07-24 Prospective Target / Not Contacted, and live Gmail found no sent outreach, draft or scheduled message after 2020. The previously enriched matthew@normative.com route is not sufficient current leadership evidence after the merger.",,,,2026-09-19,"Hold for final challenge; reassess the merged commercial structure and current decision-maker before any promotion"
